year,trend,technology,phase
2016.26,77,GCD,P
2015.35,91,MDC,P
2016.27,79,MDC,P
2014.191,62,SR,I
2015.153,52,SR,I
2016.28,81,SR,P
2017.365,93,SR,P
2016.3,84,B,P
2017.712,82,B,P
2014.074,27,CH,I
2015.181,59,CH,I
2016.32,87,CH,P
2017.46,99,CH,P
2016.43,98,CEA,P
2017.813,61,CEA,T
2015.65,91,ML,P
2016.5,100,ML,P
2017.558,99,ML,P
2015.25,75,SDS,I
2016.58,98,SDS,P
2017.938,23,SDS,T
2010.146,50,AV,I
2012.194,63,AV,I
2013.214,67,AV,I
2014.4,96,AV,P
2015.5,100,AV,P
2016.66,90,AV,P
2017.596,96,AV,P
2016.68,87,NE,P
2017.635,93,NE,P
2016.71,82,SDx,P